Day_1,Day_4,Day_6,Day_7,Day_8,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_24,Day_25,Day_26,Day_28,Day_29,Day_30,Day_31,Day_33,Day_36,Day_37,Day_39,Day_40,Day_41,Day_42,Day_44,Day_48,Day_49,Day_50,Day_52,Day_54,Day_55,Day_58,Day_60,Day_61,Day_62,Day_63,Day_66,Day_71,Day_73,Day_75,Day_77,Day_78,Day_79,Day_80,Day_81,Day_84,Day_86,Day_87,Day_88,Day_90,Day_91,Day_93,Day_94,Day_95,Day_96,Day_97,Day_99,Day_100,Day_101,Day_102,Day_104,Day_105,Day_106,Day_108,Day_109
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,82.0,78.0,28.0,78.0,77.0,28.0,85.0,54.0,29.0,85.0,77.0,27.0,83.0,28.0,97.0,83.0,83.0,28.0,28.0,83.0,28.0,88.0,82.0,89.0,28.0,28.0,23.0,25.0,26.0,29.0,36.0,28.0,35.0,78.0,28.0,28.0,16.0,81.0,77.0,28.0,28.0,24.0,25.0,35.0,28.0,28.0,28.0,28.0,157.0,30.0,31.0,82.0,55.0,31.0,28.0,28.0,28.0,25.0,28.0,30.0,28.0,89.0,49.0,28.0,26.0,82.0,28.0,28.0,28.0
56.0,167.0,169.0,42.0,169.0,168.0,56.0,148.0,82.0,57.0,174.0,172.0,55.0,168.0,83.0,168.0,172.0,165.0,56.0,57.0,172.0,58.0,172.0,166.0,173.0,56.0,43.0,37.0,43.0,40.0,57.0,65.0,56.0,56.0,97.0,56.0,56.0,28.0,165.0,158.0,56.0,56.0,28.0,43.0,78.0,56.0,42.0,56.0,35.0,227.0,44.0,34.0,173.0,88.0,105.0,56.0,57.0,42.0,27.0,43.0,42.0,56.0,173.0,105.0,76.0,43.0,166.0,43.0,42.0,43.0
84.0,221.0,223.0,56.0,223.0,222.0,84.0,202.0,110.0,85.0,230.0,228.0,83.0,228.0,111.0,221.0,228.0,223.0,84.0,84.0,228.0,84.0,228.0,222.0,229.0,84.0,56.0,51.0,53.0,68.0,64.0,92.0,84.0,84.0,126.0,84.0,85.0,56.0,221.0,214.0,84.0,84.0,43.0,53.0,109.0,80.0,52.0,84.0,57.0,299.0,58.0,44.0,210.0,116.0,188.0,93.0,84.0,57.0,42.0,56.0,58.0,84.0,229.0,160.0,101.0,54.0,222.0,56.0,52.0,56.0
140.0,285.0,280.0,84.0,280.0,279.0,112.0,259.0,138.0,114.0,287.0,256.0,111.0,256.0,141.0,307.0,256.0,262.0,112.0,108.0,285.0,112.0,256.0,286.0,286.0,112.0,84.0,79.0,81.0,96.0,85.0,120.0,112.0,116.0,154.0,112.0,112.0,79.0,249.0,277.0,112.0,112.0,59.0,81.0,147.0,112.0,83.0,112.0,63.0,334.0,82.0,61.0,264.0,161.0,251.0,112.0,112.0,84.0,55.0,84.0,86.0,112.0,293.0,224.0,132.0,82.0,264.0,84.0,84.0,84.0
168.0,313.0,309.0,112.0,308.0,307.0,140.0,315.0,166.0,141.0,314.0,285.0,144.0,292.0,182.0,334.0,285.0,285.0,139.0,140.0,313.0,140.0,286.0,314.0,315.0,140.0,112.0,107.0,84.0,152.0,91.0,149.0,140.0,144.0,182.0,140.0,168.0,105.0,279.0,304.0,147.0,140.0,63.0,90.0,175.0,140.0,112.0,140.0,85.0,360.0,114.0,90.0,293.0,169.0,332.0,141.0,146.0,112.0,83.0,115.0,112.0,168.0,321.0,239.0,150.0,110.0,295.0,112.0,107.0,112.0
196.0,375.0,337.0,140.0,336.0,335.0,168.0,345.0,194.0,169.0,343.0,305.0,172.0,305.0,196.0,362.0,313.0,333.0,168.0,168.0,333.0,168.0,311.0,343.0,343.0,168.0,140.0,135.0,116.0,180.0,99.0,176.0,167.0,172.0,231.0,168.0,224.0,136.0,307.0,322.0,168.0,168.0,86.0,116.0,197.0,168.0,141.0,168.0,91.0,402.0,143.0,118.0,321.0,203.0,429.0,168.0,168.0,136.0,105.0,139.0,140.0,211.0,349.0,272.0,189.0,138.0,328.0,140.0,135.0,136.0
224.0,403.0,366.0,168.0,366.0,363.0,196.0,371.0,222.0,197.0,366.0,342.0,200.0,348.0,234.0,391.0,341.0,362.0,196.0,196.0,370.0,196.0,342.0,371.0,371.0,197.0,168.0,161.0,144.0,208.0,113.0,190.0,203.0,196.0,287.0,196.0,259.0,162.0,335.0,357.0,196.0,196.0,91.0,123.0,224.0,197.0,168.0,192.0,113.0,458.0,170.0,146.0,329.0,221.0,542.0,198.0,196.0,168.0,110.0,168.0,168.0,273.0,377.0,297.0,213.0,167.0,356.0,168.0,163.0,168.0
252.0,423.0,393.0,196.0,392.0,391.0,225.0,406.0,250.0,225.0,390.0,369.0,228.0,376.0,280.0,419.0,369.0,398.0,224.0,224.0,389.0,224.0,367.0,406.0,424.0,224.0,197.0,163.0,172.0,236.0,138.0,204.0,231.0,228.0,322.0,224.0,287.0,191.0,363.0,392.0,224.0,224.0,112.0,145.0,258.0,226.0,199.0,224.0,141.0,479.0,198.0,183.0,349.0,272.0,682.0,224.0,224.0,203.0,146.0,196.0,197.0,316.0,404.0,328.0,246.0,194.0,384.0,196.0,191.0,196.0
280.0,452.0,420.0,224.0,420.0,404.0,252.0,433.0,278.0,253.0,419.0,398.0,257.0,396.0,301.0,509.0,398.0,417.0,252.0,252.0,419.0,252.0,382.0,434.0,453.0,252.0,224.0,170.0,200.0,320.0,141.0,232.0,259.0,259.0,350.0,266.0,315.0,218.0,391.0,419.0,252.0,252.0,119.0,159.0,308.0,259.0,224.0,252.0,147.0,549.0,228.0,193.0,377.0,308.0,702.0,259.0,252.0,224.0,166.0,224.0,226.0,386.0,433.0,359.0,267.0,222.0,441.0,224.0,217.0,224.0
308.0,480.0,446.0,252.0,449.0,488.0,280.0,463.0,306.0,281.0,449.0,426.0,285.0,433.0,337.0,552.0,426.0,508.0,280.0,280.0,447.0,280.0,466.0,463.0,481.0,280.0,245.0,182.0,229.0,351.0,169.0,260.0,273.0,308.0,379.0,296.0,350.0,248.0,426.0,454.0,280.0,280.0,140.0,165.0,398.0,287.0,252.0,287.0,168.0,640.0,254.0,210.0,405.0,336.0,805.0,300.0,280.0,252.0,210.0,250.0,254.0,411.0,461.0,391.0,300.0,252.0,469.0,252.0,245.0,252.0
336.0,516.0,474.0,280.0,468.0,572.0,301.0,492.0,341.0,309.0,482.0,454.0,313.0,461.0,408.0,614.0,454.0,592.0,304.0,308.0,475.0,308.0,550.0,490.0,511.0,308.0,252.0,196.0,263.0,382.0,173.0,295.0,315.0,340.0,412.0,350.0,386.0,273.0,453.0,483.0,308.0,311.0,147.0,186.0,441.0,318.0,277.0,315.0,188.0,724.0,506.0,243.0,455.0,364.0,860.0,321.0,307.0,280.0,250.0,261.0,282.0,449.0,474.0,415.0,328.0,293.0,496.0,280.0,273.0,280.0
364.0,546.0,502.0,315.0,552.0,628.0,321.0,503.0,369.0,337.0,512.0,489.0,341.0,489.0,447.0,650.0,482.0,798.0,336.0,336.0,503.0,336.0,613.0,502.0,539.0,336.0,280.0,210.0,290.0,410.0,197.0,306.0,343.0,376.0,441.0,378.0,420.0,303.0,481.0,518.0,336.0,343.0,175.0,221.0,469.0,343.0,280.0,343.0,196.0,752.0,548.0,272.0,523.0,399.0,909.0,343.0,336.0,304.0,278.0,287.0,322.0,470.0,489.0,443.0,381.0,329.0,516.0,307.0,301.0,301.0
